,Success or Failure,Cost,K,k0,list of CSVs
0,True,120720.40027597922,"[ 5.97217076e-03  4.89343170e-03  7.68520131e-03  1.43214043e-03
 -5.49073277e+00  6.57840201e-02  6.42908920e-01 -1.44188208e+00
 -1.55046129e-03  2.95318360e-04  2.19450908e-04 -3.87770235e-03]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
1,True,91937.99206421404,"[ 9.77942397e-03  4.81749535e-03 -1.85958239e-02  8.45621414e-03
 -4.74706438e+00 -9.60751722e-03 -3.52263042e+00 -1.19118969e+00
 -1.93948243e-03  3.35261130e-04  7.51794357e-04 -4.37229256e-03]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
2,True,105703.36823334129,"[ 6.62180032e-03  5.03253542e-03  7.10319545e-03  7.66112169e-03
 -5.59392270e+00  1.67630385e-02  6.93602069e-01 -3.17052331e+00
 -1.60321027e-03  2.88059529e-04  2.09153119e-04 -3.84510036e-03]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
3,True,105436.60089581281,"[ 6.38979656e-03  4.78972286e-03  9.04691094e-03 -3.36929261e-04
 -5.56931592e+00  1.94757475e-02  6.27070340e-01 -2.99175469e+00
 -1.67558853e-03  3.08055299e-04  3.32011536e-04 -3.96891605e-03]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
4,True,14463.57034385072,"[ 2.45586626e-02  7.78484666e-04 -3.06348568e-02  8.44270584e-02
  3.05594106e+00 -8.76789394e-02 -3.69437464e+01 -4.27203380e+00
  2.27633116e-06 -3.76120705e-07  1.66186811e-06  5.71210895e-06]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[17]
5,True,4651.815159234662,"[-5.79101100e-02  1.04528113e-02  7.56490062e-03  6.88874532e-02
 -3.34518486e+00  3.56833874e-01 -2.40415789e+01  1.64047031e-01
  5.55723905e-06 -4.71135208e-07 -6.69776853e-06 -8.13996601e-06]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[18]
6,True,3633.421340561892,"[-2.46871917e-02  8.70998776e-03 -1.40495667e-02  1.91075414e-02
 -1.73830473e+00  1.79221059e-01 -7.17127656e+01 -7.41116665e-01
 -4.66981204e-07 -2.43716664e-08 -1.26105633e-04 -8.57784733e-07]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[18]
7,True,3633.421340561892,"[-2.46871917e-02  8.70998776e-03 -1.40495667e-02  1.91075414e-02
 -1.73830473e+00  1.79221059e-01 -7.17127656e+01 -7.41116665e-01
 -4.66981204e-07 -2.43716664e-08 -1.26105633e-04 -8.57784733e-07]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[18]
8,True,3633.421340561892,"[-2.46871917e-02  8.70998776e-03 -1.40495667e-02  1.91075414e-02
 -1.73830473e+00  1.79221059e-01 -7.17127656e+01 -7.41116665e-01
 -4.66981204e-07 -2.43716664e-08 -1.26105633e-04 -8.57784733e-07]",[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]],[18]
