time,throttle,steering,brakes,x_pos,y_pos,velocity,directions
0.0,0.0,0.0,0.0,9.257617239200044e-05,-9.999587433892884,0.00040561253722878844,"[2.7018269975087605e-05, 0.9999881386756897, -0.004866282921284437]"
0.1001669449081803,0.0,0.0,0.0,2.9016531698289327e-05,-9.99947024229914,0.007343173098403534,"[-3.984270335877227e-08, 0.9999861121177673, -0.005270636174827814]"
0.2003338898163606,0.0,0.0,0.0,3.9784496038919315e-05,-9.998777615444851,0.0070718123537685425,"[1.4689800082123838e-05, 0.99998539686203, -0.00539026316255331]"
0.3005008347245409,0.0,0.0,0.0,8.619888467364945e-05,-9.99860543316754,0.0002838637186832585,"[2.773836240521632e-05, 0.9999867081642151, -0.005154530052095652]"
0.4006677796327212,0.0,0.0,0.0,5.585231974691851e-05,-9.998623606283218,0.0024765081757173947,"[-4.868503674515523e-05, 0.999987781047821, -0.004950265865772963]"
0.5008347245409015,0.0,0.0,0.0,6.664195461780764e-05,-9.998276081008953,0.006714283168670524,"[-3.641934017650783e-05, 0.9999881386756897, -0.0048691388219594955]"
0.6010016694490818,0.0,0.0,0.0,0.00012825169096686295,-9.99789178185165,0.0032851834490870493,"[2.4797069272608496e-05, 0.9999887943267822, -0.004734734073281288]"
0.7011686143572621,0.0,0.0,0.0,8.663891458127182e-05,-9.998044517655217,0.001194051581355945,"[-1.2854998203692958e-05, 0.999989926815033, -0.004487671889364719]"
0.8013355592654424,0.0,0.0,0.0,4.8970811349136056e-05,-9.998223783053618,0.0005982064820156529,"[-3.877292692777701e-05, 0.9999905824661255, -0.004345088265836239]"
0.9015025041736228,0.0,0.0,0.0,0.00010720870665181792,-9.998034102939982,6.455096164629113e-05,"[1.42333728945232e-05, 0.9999904036521912, -0.004389826208353043]"
1.001669449081803,0.0,0.0,0.0,5.922850641582045e-05,-9.998201931353833,0.0007032484931287576,"[-3.176963946316391e-05, 0.9999906420707703, -0.004325450863689184]"
1.1018363939899833,0.0,0.0,0.0,9.46079816941392e-05,-9.998116301801929,0.0003718663393759309,"[1.1434814041422214e-05, 0.9999904036521912, -0.004374657291918993]"
1.2020033388981637,0.0,0.0,0.0,6.399659787348355e-05,-9.998168023668768,0.00030085044823722487,"[-1.8161244952352718e-05, 0.9999904632568359, -0.004372802097350359]"
1.302170283806344,0.0,0.0,0.0,9.108939541135896e-05,-9.998132951770458,0.00038800671451049817,"[7.12201153874048e-06, 0.9999902844429016, -0.0043991548009216785]"
1.4023372287145242,0.0,0.0,0.0,6.511552680876775e-05,-9.998143736606835,0.0005588643965449636,"[-1.727428571030032e-05, 0.9999902248382568, -0.00441522803157568]"
1.5025041736227045,0.0,0.0,0.0,8.333985226727236e-05,-9.998130224613305,7.006412299686519e-05,"[-3.085395405832969e-07, 0.9999902248382568, -0.004425050225108862]"
1.6026711185308848,0.0,0.0,0.0,6.76197284974478e-05,-9.99814721607936,0.00011310519008835698,"[-1.2256622540007811e-05, 0.9999901056289673, -0.004435440059751272]"
1.7028380634390652,0.0,0.0,0.0,7.836364966351539e-05,-9.99812812981827,0.00011887640674262318,"[-5.191164746065624e-06, 0.9999901056289673, -0.004442697856575251]"
1.8030050083472455,0.0,0.0,0.0,7.058063647491508e-05,-9.998146346538306,0.00020942087682444414,"[-7.423622264468577e-06, 0.9999901056289673, -0.004447047598659992]"
1.9031719532554257,0.0,0.0,0.0,7.44725980439398e-05,-9.99812766968671,0.00013956887683313433,"[-8.412652277911548e-06, 0.9999900460243225, -0.004455318674445152]"
2.003338898163606,0.0,0.0,0.0,7.027605238363321e-05,-9.998144412350484,2.8170654253664743e-05,"[-7.488740720873466e-06, 0.9999901056289673, -0.004459787625819445]"
2.1035058430717863,0.0,0.0,0.0,7.298678815459425e-05,-9.998130433296183,1.9385411790381543e-05,"[-7.745425136818085e-06, 0.9999900460243225, -0.004463977180421352]"
2.2036727879799667,0.0,0.0,0.0,7.173314975261746e-05,-9.998144896399253,1.6629176705637122e-05,"[-5.846078238391783e-06, 0.9999900460243225, -0.004468051716685295]"
2.303839732888147,0.0,0.0,0.0,7.148662018607865e-05,-9.998137557285645,6.183888915445666e-05,"[-7.777600330882706e-06, 0.9999900460243225, -0.004471265245229006]"
2.4040066777963274,0.0,0.0,0.0,7.160917482451623e-05,-9.998141798372444,0.00015514113854549671,"[-6.6923203121405095e-06, 0.999989926815033, -0.004475858062505722]"
2.5041736227045077,0.0,0.0,0.0,7.05494779822402e-05,-9.998140842810813,2.1445266071510844e-05,"[-9.729373232403304e-06, 0.999989926815033, -0.0044784024357795715]"
2.604340567612688,0.0,0.0,0.0,6.963281441585423e-05,-9.998140955713438,0.0001540949305667503,"[-7.554325293313013e-06, 0.999989926815033, -0.004479318391531706]"
2.704507512520868,0.0,0.0,0.0,7.114546133379918e-05,-9.998143479253116,0.0002506810338221835,"[-8.051818440435454e-06, 0.999989926815033, -0.004480199888348579]"
2.8046744574290483,0.0,0.0,0.0,7.122798757563942e-05,-9.998139613524756,5.348834251734519e-05,"[-8.098904800135642e-06, 0.999989926815033, -0.004482082556933165]"
2.9048414023372287,0.0,0.0,0.0,6.891152258958755e-05,-9.998142014307533,6.902672871793459e-05,"[-8.382382475247141e-06, 0.999989926815033, -0.00448600435629487]"
3.005008347245409,0.0,0.0,0.0,7.053981562421541e-05,-9.998143418243103,0.0001393154456716041,"[-6.915765879966784e-06, 0.999989926815033, -0.004486411344259977]"
